name,index,0,1,precision,recall,f1-score,accuracy,support,precision_avg,recall_avg,f1-score_avg,note
LogisticRegression: Train,0,0.0,12649.0,1.0,0.0,0.0,0.6681968417186926,12649.0,0.8340984208593463,0.5,0.4005503577325262,max_iter=1000
LogisticRegression: Train,1,0.0,25473.0,0.6681968417186926,1.0,0.8011007154650523,0.6681968417186926,25473.0,0.8340984208593463,0.5,0.4005503577325262,
LogisticRegression: Test,0,0.0,5419.0,1.0,0.0,0.0,0.6683192557228547,5419.0,0.8341596278614274,0.5,0.4005943427376453,max_iter=1000
LogisticRegression: Test,1,0.0,10919.0,0.6683192557228547,1.0,0.8011886854752907,0.6683192557228547,10919.0,0.8341596278614274,0.5,0.4005943427376453,
LogisticRegression: Train,0,0.0,12649.0,1.0,0.0,0.0,0.6681968417186926,12649.0,0.8340984208593463,0.5,0.4005503577325262,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Train,1,0.0,25473.0,0.6681968417186926,1.0,0.8011007154650523,0.6681968417186926,25473.0,0.8340984208593463,0.5,0.4005503577325262,
LogisticRegression: Test,0,0.0,5419.0,1.0,0.0,0.0,0.6683192557228547,5419.0,0.8341596278614274,0.5,0.4005943427376453,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Test,1,0.0,10919.0,0.6683192557228547,1.0,0.8011886854752907,0.6683192557228547,10919.0,0.8341596278614274,0.5,0.4005943427376453,
GradientBoostingClassifier: Train,0,7924.0,4725.0,0.7941471236720786,0.6264526840066409,0.7004021743934238,0.8221761712397041,12649.0,0.8131302701930603,0.7729091434008786,0.7869841970312792,n_estimators=100
GradientBoostingClassifier: Train,1,2054.0,23419.0,0.832113416714042,0.9193656027951164,0.8735662196691347,0.8221761712397041,25473.0,0.8131302701930603,0.7729091434008786,0.7869841970312792,
GradientBoostingClassifier: Test,0,3410.0,2009.0,0.7866205305651672,0.6292673925078428,0.6992003280705351,0.8204186558942343,5419.0,0.8096228538021204,0.7722763375214368,0.7856005130449526,n_estimators=100
GradientBoostingClassifier: Test,1,925.0,9994.0,0.8326251770390736,0.9152852825350307,0.8720006980193701,0.8204186558942343,10919.0,0.8096228538021204,0.7722763375214368,0.7856005130449526,
GradientBoostingClassifier: Train,0,7825.0,4824.0,0.7931279140482465,0.6186259783382085,0.695092160781701,0.8199202560201458,12649.0,0.811201556118121,0.7692509627097159,0.7836606553875933,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Train,1,2041.0,23432.0,0.8292751981879954,0.9198759470812232,0.8722291499934858,0.8199202560201458,25473.0,0.811201556118121,0.7692509627097159,0.7836606553875933,
GradientBoostingClassifier: Test,0,3365.0,2054.0,0.7854808590102708,0.620963277357446,0.6935999175512728,0.8180315828130739,5419.0,0.807540495873146,0.7683990303812599,0.782093564312571,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Test,1,919.0,10000.0,0.8296001327360213,0.9158347834050737,0.8705872110738694,0.8180315828130739,10919.0,0.807540495873146,0.7683990303812599,0.782093564312571,
AdaBoostClassifier: Train,0,7398.0,5251.0,0.7800506115563054,0.5848683690410309,0.6685040437355985,0.8075389538848958,12649.0,0.7983464175876366,0.7514888698736344,0.7664561947716451,
AdaBoostClassifier: Train,1,2086.0,23387.0,0.8166422236189678,0.918109370706238,0.8644083458076917,0.8075389538848958,25473.0,0.7983464175876366,0.7514888698736344,0.7664561947716451,
AdaBoostClassifier: Test,0,3156.0,2263.0,0.7703197461557237,0.5823952758811589,0.6633039092055485,0.803892765332354,5419.0,0.7927246145205544,0.7481076113813707,0.7624809701468156,
AdaBoostClassifier: Test,1,941.0,9978.0,0.8151294828853852,0.9138199468815825,0.8616580310880828,0.803892765332354,10919.0,0.7927246145205544,0.7481076113813707,0.7624809701468156,
RandomForestClassifier: Train,0,9267.0,3382.0,0.8570239526495884,0.7326270851450708,0.7899582303298951,0.8707308116048476,12649.0,0.8665909978927755,0.835967686175566,0.8482965339819686,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003"
RandomForestClassifier: Train,1,1546.0,23927.0,0.8761580431359625,0.9393082872060613,0.906634837634042,0.8707308116048476,25473.0,0.8665909978927755,0.835967686175566,0.8482965339819686,
RandomForestClassifier: Test,0,3804.0,1615.0,0.8122998078155029,0.7019745340468722,0.7531181944169472,0.847349736809891,5419.0,0.8368663346241823,0.8107363282927831,0.8213185549917641,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003"
RandomForestClassifier: Test,1,879.0,10040.0,0.8614328614328615,0.919498122538694,0.889518915566581,0.847349736809891,10919.0,0.8368663346241823,0.8107363282927831,0.8213185549917641,
KNeighborsClassifier: Train,0,3754.0,8895.0,0.6012171684817424,0.29678235433631117,0.39739586090086276,0.701353549131735,12649.0,0.6610923034202425,0.5995158974602295,0.5994407248219331,
KNeighborsClassifier: Train,1,2490.0,22983.0,0.7209674383587427,0.9022494405841479,0.8014855887430036,0.701353549131735,25473.0,0.6610923034202425,0.5995158974602295,0.5994407248219331,
KNeighborsClassifier: Test,0,1519.0,3900.0,0.5592783505154639,0.28031002029894814,0.37344806392132757,0.688027910392949,5419.0,0.6364883897636782,0.5853422983626804,0.5828774079437125,
KNeighborsClassifier: Test,1,1197.0,9722.0,0.7136984290118925,0.8903745764264127,0.7923067519660975,0.688027910392949,10919.0,0.6364883897636782,0.5853422983626804,0.5828774079437125,
VotingClassifier: Train,0,8231.0,4418.0,0.8233470041012304,0.6507233773420824,0.7269274927139452,0.8377839567703688,12649.0,0.833131279828393,0.7906975344685523,0.8057750266286245,"('RF', clf_RF), ('GB', clf_GB), ('AB', clf_AB')"
VotingClassifier: Train,1,1766.0,23707.0,0.8429155555555555,0.9306716915950222,0.8846225605433038,0.8377839567703688,25473.0,0.833131279828393,0.7906975344685523,0.8057750266286245,
VotingClassifier: Test,0,3501.0,1918.0,0.8104166666666667,0.6460601587008673,0.7189649861382073,0.8324764353041988,5419.0,0.8254113621234814,0.7855266449699958,0.7998190671633618,"('RF', clf_RF), ('GB', clf_GB), ('AB', clf_AB')"
VotingClassifier: Test,1,819.0,10100.0,0.8404060575802962,0.9249931312391244,0.8806731481885164,0.8324764353041988,10919.0,0.8254113621234814,0.7855266449699958,0.7998190671633618,
